italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
funzionare,to function,funziono,I function,funzioni,you function,funziona,he/she functions,funzioniamo,we function,funzionate,you all function,funzionano,they function
votare,to vote,voto,I vote,voti,you vote,vota,he/she votes,votiamo,we vote,votate,you all vote,votano,they vote
compiere,to accomplish,compio,I accomplish,compi,you accomplish,compie,he/she accomplishes,compiamo,we accomplish,compiete,you all accomplish,compiono,they accomplish
rispettare,to respect,rispetto,I respect,rispetti,you respect,rispetta,he/she respects,rispettiamo,we respect,rispettate,you all respect,rispettano,they respect
combattere,to fight,combatto,I fight,combatti,you fight,combatte,he/she fights,combattiamo,we fight,combattete,you all fight,combattono,they fight
imparare,to learn,imparo,I learn,impari,you learn,impara,he/she learns,impariamo,we learn,imparate,you all learn,imparano,they learn
formare,to form,formo,I form,formi,you form,forma,he/she forms,formiamo,we form,formate,you all form,formano,they form
colpire,to hit,colpisco,I hit,colpisci,you hit,colpisce,he/she hits,colpiamo,we hit,colpite,you all hit,colpiscono,they hit
dimenticare,to forget,dimentico,I forget,dimentichi,you forget,dimentica,he/she forgets,dimentichiamo,we forget,dimenticate,you all forget,dimenticano,they forget
impegnare,to commit,impegno,I engage,impegni,you engage,impegna,he/she engages,impegniamo,we engage,impegnate,you all engage,impegnano,they engage
difendere,to defend,difendo,I defend,difendi,you defend,difende,he/she defends,difendiamo,we defend,difendete,you all defend,difendono,they defend
appartenere,to belong,appartengo,I belong,appartieni,you belong,appartiene,he/she belongs,apparteniamo,we belong,appartenete,you all belong,appartengono,they belong
annunciare,to announce,annuncio,I announce,annunci,you announce,annuncia,he/she announces,annunciamo,we announce,annunciate,you all announce,annunciano,they announce
tendere,to tend,tendo,I stretch,tendi,you stretch,tende,he/she stretches,tendiamo,we stretch,tendete,you all stretch,tendono,they stretch
fissare,to fix,fisso,I fix,fissi,you fix,fissa,he/she fixes,fissiamo,we fix,fissate,you all fix,fissano,they fix
riflettere,to reflect,rifletto,I reflect,rifletti,you reflect,riflette,he/she reflects,riflettiamo,we reflect,riflettete,you all reflect,riflettono,they reflect
firmare,to sign,firmo,I sign,firmi,you sign,firma,he/she signs,firmiamo,we sign,firmate,you all sign,firmano,they sign
salire,to go up,salgo,I go up,sali,you go up,sale,he/she goes up,saliamo,we go up,salite,you all go up,salgono,they go up
istituire,to establish,istituisco,I establish,istituisci,you establish,istituisce,he/she establishes,istituiamo,we establish,istituite,you all establish,istituiscono,they establish
costringere,to force,costringo,I force,costringi,you force,costringe,he/she forces,costringiamo,we force,costringete,you all force,costringono,they force
eliminare,to eliminate,elimino,I eliminate,elimini,you eliminate,elimina,he/she eliminates,eliminiamo,we eliminate,eliminate,you all eliminate,eliminano,they eliminate
studiare,to study,studio,I study,studi,you study,studia,he/she studies,studiamo,we study,studiate,you all study,studiano,they study
contribuire,to contribute,contribuisco,I contribute,contribuisci,you contribute,contribuisce,he/she contributes,contribuiamo,we contribute,contribuite,you all contribute,contribuiscono,they contribute
rilevare,to detect,rilevo,I detect,rilevi,you detect,rileva,he/she detects,rileviamo,we detect,rilevate,you all detect,rilevano,they detect
spettare,to be due,spetto,I am due,spetti,you are due,spetta,he/she is due,spettiamo,we are due,spettate,you all are due,spettano,they are due
convincere,to convince,convinco,I convince,convinci,you convince,convince,he/she convinces,convinciamo,we convince,convincete,you all convince,convincono,they convince
esercitare,to exercise,esercito,I exercise,eserciti,you exercise,esercita,he/she exercises,esercitiamo,we exercise,esercitate,you all exercise,esercitano,they exercise
emergere,to emerge,emergo,I emerge,emergi,you emerge,emerge,he/she emerges,emergiamo,we emerge,emergete,you all emerge,emergono,they emerge
raccogliere,to collect,raccolgo,I collect,raccogli,you collect,raccoglie,he/she collects,raccogliamo,we collect,raccogliete,you all collect,raccolgono,they collect
invitare,to invite,invito,I invite,inviti,you invite,invita,he/she invites,invitiamo,we invite,invitate,you all invite,invitano,they invite
uccidere,to kill,uccido,I kill,uccidi,you kill,uccide,he/she kills,uccidiamo,we kill,uccidete,you all kill,uccidono,they kill
eleggere,to elect,eleggo,I elect,eleggi,you elect,elegge,he/she elects,eleggiamo,we elect,eleggete,you all elect,eleggono,they elect
salvare,to save,salvo,I save,salvi,you save,salva,he/she saves,salviamo,we save,salvate,you all save,salvano,they save
sbagliare,to make a mistake,sbaglio,I make a mistake,sbagli,you make a mistake,sbaglia,he/she makes a mistake,sbagliamo,we make a mistake,sbagliate,you all make a mistake,sbagliano,they make a mistake
acquisire,to acquire,acquisisco,I acquire,acquisisci,you acquire,acquisisce,he/she acquires,acquisiamo,we acquire,acquisite,you all acquire,acquisiscono,they acquire
aspettare,to wait,aspetto,I wait,aspetti,you wait,aspetta,he/she waits,aspettiamo,we wait,aspettate,you all wait,aspettano,they wait
recuperare,to recover,recupero,I recover,recuperi,you recover,recupera,he/she recovers,recuperiamo,we recover,recuperate,you all recover,recuperano,they recover
chiudere,to close,chiudo,I close,chiudi,you close,chiude,he/she closes,chiudiamo,we close,chiudete,you all close,chiudono,they close
diffondere,to spread,diffondo,I spread,diffondi,you spread,diffonde,he/she spreads,diffondiamo,we spread,diffondete,you all spread,diffondono,they spread
introdurre,to introduce,introduco,I introduce,introduci,you introduce,introduce,he/she introduces,introduciamo,we introduce,introducete,you all introduce,introducono,they introduce
avviare,to start,avvio,I start,avvii,you start,avvia,he/she starts,avviamo,we start,avviate,you all start,avviano,they start
acquistare,to buy,acquisto,I buy,acquisti,you buy,acquista,he/she buys,acquistiamo,we buy,acquistate,you all buy,acquistano,they buy
nominare,to name,nomino,I nominate,nomini,you nominate,nomina,he/she nominates,nominiamo,we nominate,nominate,you all nominate,nominano,they nominate
amare,to love,amo,I love,ami,you love,ama,he/she loves,amiamo,we love,amate,you all love,amano,they love
condurre,to lead,conduco,I lead,conduci,you lead,conduce,he/she leads,conduciamo,we lead,conducete,you all lead,conducono,they lead
vistare,to stamp/approve,visto,I visit,visti,you visit,vista,he/she visits,vistiamo,we visit,vistate,you all visit,vistano,they visit
contare,to count,conto,I count,conti,you count,conta,he/she counts,contiamo,we count,contate,you all count,contano,they count
fondare,to found,fondo,I found,fondi,you found,fonda,he/she founds,fondiamo,we found,fondate,you all found,fondano,they found
impedire,to prevent,impedisco,I prevent,impedisci,you prevent,impedisce,he/she prevents,impediamo,we prevent,impedite,you all prevent,impediscono,they prevent
rilasciare,to release,rilascio,I release,rilasci,you release,rilascia,he/she releases,rilasciamo,we release,rilasciate,you all release,rilasciano,they release
autorizzare,to authorize,autorizzo,I authorize,autorizzi,you authorize,autorizza,he/she authorizes,autorizziamo,we authorize,autorizzate,you all authorize,autorizzano,they authorize
precisare,to clarify,preciso,I specify,precisi,you specify,precisa,he/she specifies,precisiamo,we specify,precisate,you all specify,precisano,they specify
eseguire,to execute,eseguo,I execute,esegui,you execute,esegue,he/she executes,eseguiamo,we execute,eseguite,you all execute,eseguono,they execute
ammettere,to admit,ammetto,I admit,ammetti,you admit,ammette,he/she admits,ammettiamo,we admit,ammettete,you all admit,ammettono,they admit
citare,to cite,cito,I cite,citi,you cite,cita,he/she cites,citiamo,we cite,citate,you all cite,citano,they cite
soddisfare,to satisfy,soddisfo,I satisfy,soddisfi,you satisfy,soddisfa,he/she satisfies,soddisfacciamo,we satisfy,soddisfate,you all satisfy,soddisfano,they satisfy
visitare,to visit,visito,I visit,visiti,you visit,visita,he/she visits,visitiamo,we visit,visitate,you all visit,visitano,they visit
segnalare,to signal,segnalo,I signal,segnali,you signal,segnala,he/she signals,segnaliamo,we signal,segnalate,you all signal,segnalano,they signal
caratterizzare,to characterize,caratterizzo,I characterize,caratterizzi,you characterize,caratterizza,he/she characterizes,caratterizziamo,we characterize,caratterizzate,you all characterize,caratterizzano,they characterize
trasmettere,to transmit,trasmetto,I transmit,trasmetti,you transmit,trasmette,he/she transmits,trasmettiamo,we transmit,trasmettete,you all transmit,trasmettono,they transmit
imporre,to impose,impongo,I impose,imponi,you impose,impone,he/she imposes,imponiamo,we impose,imponete,you all impose,impongono,they impose
correggere,to correct,correggo,I correct,correggi,you correct,corregge,he/she corrects,correggiamo,we correct,correggete,you all correct,correggono,they correct
basare,to base,baso,I base,basi,you base,basa,he/she bases,basiamo,we base,basate,you all base,basano,they base
sottoporre,to subject,sottopongo,I submit,sottoponi,you submit,sottopone,he/she submits,sottoponiamo,we submit,sottoponete,you all submit,sottopongono,they submit
immaginare,to imagine,immagino,I imagine,immagini,you imagine,immagina,he/she imagines,immaginiamo,we imagine,immaginate,you all imagine,immaginano,they imagine
correre,to run,corro,I run,corri,you run,corre,he/she runs,corriamo,we run,correte,you all run,corrono,they run
vendere,to sell,vendo,I sell,vendi,you sell,vende,he/she sells,vendiamo,we sell,vendete,you all sell,vendono,they sell
ricorrere,to resort,ricorro,I resort,ricorri,you resort,ricorre,he/she resorts,ricorriamo,we resort,ricorrete,you all resort,ricorrono,they resort
approfondire,to deepen,approfondisco,I deepen,approfondisci,you deepen,approfondisce,he/she deepens,approfondiamo,we deepen,approfondite,you all deepen,approfondiscono,they deepen
rivelare,to reveal,rivelo,I reveal,riveli,you reveal,rivela,he/she reveals,riveliamo,we reveal,rivelate,you all reveal,rivelano,they reveal
condividere,to share,condivido,I share,condividi,you share,condivide,he/she shares,condividiamo,we share,condividete,you all share,condividono,they share
cadere,to fall,cado,I fall,cadi,you fall,cade,he/she falls,cadiamo,we fall,cadete,you all fall,cadono,they fall
subire,to suffer,subisco,I undergo,subisci,you undergo,subisce,he/she undergoes,subiamo,we undergo,subite,you all undergo,subiscono,they undergo
costare,to cost,costo,I cost,costi,you cost,costa,he/she costs,costiamo,we cost,costate,you all cost,costano,they cost
affidare,to entrust,affido,I entrust,affidi,you entrust,affida,he/she entrusts,affidiamo,we entrust,affidate,you all entrust,affidano,they entrust
conseguire,to achieve,conseguo,I achieve,consegui,you achieve,consegue,he/she achieves,conseguiamo,we achieve,conseguite,you all achieve,conseguono,they achieve
accompagnare,to accompany,accompagno,I accompany,accompagni,you accompany,accompagna,he/she accompanies,accompagniamo,we accompany,accompagnate,you all accompany,accompagnano,they accompany
revocare,to revoke,revoco,I revoke,revochi,you revoke,revoca,he/she revokes,revochiamo,we revoke,revocate,you all revoke,revocano,they revoke
toccare,to touch,tocco,I touch,tocchi,you touch,tocca,he/she touches,tocchiamo,we touch,toccate,you all touch,toccano,they touch
lanciare,to throw,lancio,I throw,lanci,you throw,lancia,he/she throws,lanciamo,we throw,lanciate,you all throw,lanciano,they throw
assegnare,to assign,assegno,I assign,assegni,you assign,assegna,he/she assigns,assegniamo,we assign,assegnate,you all assign,assegnano,they assign
possedere,to possess,possiedo,I possess,possiedi,you possess,possiede,he/she possesses,possediamo,we possess,possedete,you all possess,possiedono,they possess
evidenziare,to highlight,evidenzio,I highlight,evidenzi,you highlight,evidenzia,he/she highlights,evidenziamo,we highlight,evidenziate,you all highlight,evidenziano,they highlight
sottoscrivere,to subscribe,sottoscrivo,I subscribe,sottoscrivi,you subscribe,sottoscrive,he/she subscribes,sottoscriviamo,we subscribe,sottoscrivete,you all subscribe,sottoscrivono,they subscribe
fermare,to stop,fermo,I stop,fermi,you stop,ferma,he/she stops,fermiamo,we stop,fermate,you all stop,fermano,they stop
riservare,to reserve,riservo,I reserve,riservi,you reserve,riserva,he/she reserves,riserviamo,we reserve,riservate,you all reserve,riservano,they reserve
preferire,to prefer,preferisco,I prefer,preferisci,you prefer,preferisce,he/she prefers,preferiamo,we prefer,preferite,you all prefer,preferiscono,they prefer
corrispondere,to correspond,corrispondo,I correspond,corrispondi,you correspond,corrisponde,he/she corresponds,corrispondiamo,we correspond,corrispondete,you all correspond,corrispondono,they correspond
muovere,to move,muovo,I move,muovi,you move,muove,he/she moves,moviamo,we move,movete,you all move,muovono,they move
terminare,to finish,termino,I finish,termini,you finish,termina,he/she finishes,terminiamo,we finish,terminate,you all finish,terminano,they finish
prescindere,to prescind,prescindo,I disregard,prescindi,you disregard,prescinde,he/she disregards,prescindiamo,we disregard,prescindete,you all disregard,prescindono,they disregard
accogliere,to welcome,accolgo,I welcome,accogli,you welcome,accoglie,he/she welcomes,accogliamo,we welcome,accogliete,you all welcome,accolgono,they welcome
dirigere,to direct,dirigo,I direct,dirigi,you direct,dirige,he/she directs,dirigiamo,we direct,dirigete,you all direct,dirigono,they direct
attribuire,to attribute,attribuisco,I attribute,attribuisci,you attribute,attribuisce,he/she attributes,attribuiamo,we attribute,attribuite,you all attribute,attribuiscono,they attribute
incontrare,to meet,incontro,I meet,incontri,you meet,incontra,he/she meets,incontriamo,we meet,incontrate,you all meet,incontrano,they meet
attivare,to activate,attivo,I activate,attivi,you activate,attiva,he/she activates,attiviamo,we activate,attivate,you all activate,attivano,they activate
importare,to import,importo,I matter,importi,you matter,importa,he/she matters,importiamo,we matter,importate,you all matter,importano,they matter
valorizzare,to enhance,valorizzo,I enhance,valorizzi,you enhance,valorizza,he/she enhances,valorizziamo,we enhance,valorizzate,you all enhance,valorizzano,they enhance
cogliere,to gather,colgo,I grasp,cogli,you grasp,coglie,he/she grasps,cogliamo,we grasp,cogliete,you all grasp,colgono,they grasp
attuare,to implement,attuo,I implement,attui,you implement,attua,he/she implements,attuiamo,we implement,attuate,you all implement,attuano,they implement
scaricare,to download,scarico,I download,scarichi,you download,scarica,he/she downloads,scarichiamo,we download,scaricate,you all download,scaricano,they download
farcire,to stuff,farcisco,I stuff,farcisci,you stuff,farcisce,he/she stuffs,farciamo,we stuff,farcite,you all stuff,farciscono,they stuff
scendere,to descend,scendo,I go down,scendi,you go down,scende,he/she goes down,scendiamo,we go down,scendete,you all go down,scendono,they go down
comprare,to buy,compro,I buy,compri,you buy,compra,he/she buys,compriamo,we buy,comprate,you all buy,comprano,they buy
rafforzare,to strengthen,rafforzo,I strengthen,rafforzi,you strengthen,rafforza,he/she strengthens,rafforziamo,we strengthen,rafforzate,you all strengthen,rafforzano,they strengthen
ridere,to laugh,rido,I laugh,ridi,you laugh,ride,he/she laughs,ridiamo,we laugh,ridete,you all laugh,ridono,they laugh
meritare,to deserve,merito,I deserve,meriti,you deserve,merita,he/she deserves,meritiamo,we deserve,meritate,you all deserve,meritano,they deserve
ringraziare,to thank,ringrazio,I thank,ringrazi,you thank,ringrazia,he/she thanks,ringraziamo,we thank,ringraziate,you all thank,ringraziano,they thank
chiarire,to clarify,chiarisco,I clarify,chiarisci,you clarify,chiarisce,he/she clarifies,chiariamo,we clarify,chiarite,you all clarify,chiariscono,they clarify
avvertire,to warn,avverto,I warn,avverti,you warn,avverte,he/she warns,avvertiamo,we warn,avvertite,you all warn,avvertono,they warn
giungere,to arrive,giungo,I arrive,giungi,you arrive,giunge,he/she arrives,giungiamo,we arrive,giungete,you all arrive,giungono,they arrive
commentare,to comment,commento,I comment,commenti,you comment,commenta,he/she comments,commentiamo,we comment,commentate,you all comment,commentano,they comment
rientrare,to re-enter,rientro,I return,rientri,you return,rientra,he/she returns,rientriamo,we return,rientrate,you all return,rientrano,they return
bere,to drink,bevo,I drink,bevi,you drink,beve,he/she drinks,beviamo,we drink,bevete,you all drink,bevono,they drink
girare,to turn,giro,I turn,giri,you turn,gira,he/she turns,giriamo,we turn,girate,you all turn,girano,they turn
prestare,to lend,presto,I lend,presti,you lend,presta,he/she lends,prestiamo,we lend,prestate,you all lend,prestano,they lend
rinunciare,to renounce,rinuncio,I renounce,rinunci,you renounce,rinuncia,he/she renounces,rinunciamo,we renounce,rinunciate,you all renounce,rinunciano,they renounce
esporre,to expose,espongo,I exhibit,esponi,you exhibit,espone,he/she exhibits,esponiamo,we exhibit,esponete,you all exhibit,espongono,they exhibit
pervenire,to reach,pervengo,I reach,pervieni,you reach,perviene,he/she reaches,perveniamo,we reach,pervenite,you all reach,pervengono,they reach
predisporre,to prepare,predispongo,I arrange,predisponi,you arrange,predispone,he/she arranges,predisponiamo,we arrange,predisponete,you all arrange,predispongono,they arrange
tutelare,to protect,tutelo,I protect,tuteli,you protect,tutela,he/she protects,tuteliamo,we protect,tutelate,you all protect,tutelano,they protect
trasformare,to transform,trasformo,I transform,trasformi,you transform,trasforma,he/she transforms,trasformiamo,we transform,trasformate,you all transform,trasformano,they transform
assistere,to assist,assisto,I assist,assisti,you assist,assiste,he/she assists,assistiamo,we assist,assistete,you all assist,assistono,they assist
limitare,to limit,limito,I limit,limiti,you limit,limita,he/she limits,limitiamo,we limit,limitate,you all limit,limitano,they limit
riprendere,to resume,riprendo,I resume,riprendi,you resume,riprende,he/she resumes,riprendiamo,we resume,riprendete,you all resume,riprendono,they resume
mandare,to send,mando,I send,mandi,you send,manda,he/she sends,mandiamo,we send,mandate,you all send,mandano,they send
dotare,to endow,doto,I endow,doti,you endow,dota,he/she endows,dotiamo,we endow,dotate,you all endow,dotano,they endow
prevenire,to prevent,prevengo,I prevent,previeni,you prevent,previene,he/she prevents,preveniamo,we prevent,prevenite,you all prevent,prevengono,they prevent
tentare,to attempt,tento,I attempt,tenti,you attempt,tenta,he/she attempts,tentiamo,we attempt,tentate,you all attempt,tentano,they attempt
curare,to cure,curo,I treat,curi,you treat,cura,he/she treats,curiamo,we treat,curate,you all treat,curano,they treat
finalizzare,to finalize,finalizzo,I finalize,finalizzi,you finalize,finalizza,he/she finalizes,finalizziamo,we finalize,finalizzate,you all finalize,finalizzano,they finalize
addossare,to place upon,addosso,I blame,addossi,you blame,addossa,he/she blames,addossiamo,we blame,addossate,you all blame,addossano,they blame
escludere,to exclude,escludo,I exclude,escludi,you exclude,esclude,he/she excludes,escludiamo,we exclude,escludete,you all exclude,escludono,they exclude
attenere,to pertain,attengo,I obtain,attieni,you obtain,attiene,he/she obtains,atteniamo,we obtain,attenete,you all obtain,attengono,they obtain
dormire,to sleep,dormo,I sleep,dormi,you sleep,dorme,he/she sleeps,dormiamo,we sleep,dormite,you all sleep,dormono,they sleep
coprire,to cover,copro,I cover,copri,you cover,copre,he/she covers,copriamo,we cover,coprite,you all cover,coprono,they cover
preparare,to prepare,preparo,I prepare,prepari,you prepare,prepara,he/she prepares,prepariamo,we prepare,preparate,you all prepare,preparano,they prepare
consultare,to consult,consulto,I consult,consulti,you consult,consulta,he/she consults,consultiamo,we consult,consultate,you all consult,consultano,they consult
collegare,to connect,collego,I connect,colleghi,you connect,collega,he/she connects,colleghiamo,we connect,collegate,you all connect,collegano,they connect
condannare,to condemn,condanno,I condemn,condanni,you condemn,condanna,he/she condemns,condanniamo,we condemn,condannate,you all condemn,condannano,they condemn
avanzare,to advance,avanzo,I advance,avanzi,you advance,avanza,he/she advances,avanziamo,we advance,avanzate,you all advance,avanzano,they advance
segnare,to mark,segno,I mark,segni,you mark,segna,he/she marks,segniamo,we mark,segnate,you all mark,segnano,they mark
esercire,to exercise (rare),esercisco,I exercise,esercisci,you exercise,esercisce,he/she exercises,eserciamo,we exercise,esercite,you all exercise,eserciscono,they exercise
pungere,to sting,pungo,I prick,pungi,you prick,punge,he/she pricks,pungiamo,we prick,pungete,you all prick,pungono,they prick
puntare,to point,punto,I aim,punti,you aim,punta,he/she aims,puntiamo,we aim,puntate,you all aim,puntano,they aim
proteggere,to protect,proteggo,I protect,proteggi,you protect,protegge,he/she protects,proteggiamo,we protect,proteggete,you all protect,proteggono,they protect
attendere,to wait,attendo,I wait,attendi,you wait,attende,he/she waits,attendiamo,we wait,attendete,you all wait,attendono,they wait
descrivere,to describe,descrivo,I describe,descrivi,you describe,descrive,he/she describes,descriviamo,we describe,descrivete,you all describe,descrivono,they describe
distinguere,to distinguish,distinguo,I distinguish,distingui,you distinguish,distingue,he/she distinguishes,distinguiamo,we distinguish,distinguete,you all distinguish,distinguono,they distinguish
analizzare,to analyze,analizzo,I analyze,analizzi,you analyze,analizza,he/she analyzes,analizziamo,we analyze,analizzate,you all analyze,analizzano,they analyze
esaminare,to examine,esamino,I examine,esamini,you examine,esamina,he/she examines,esaminiamo,we examine,esaminate,you all examine,esaminano,they examine
facilitare,to facilitate,facilito,I facilitate,facilita,you facilitate,facilita,he/she facilitates,facilitiamo,we facilitate,facilitate,you all facilitate,facilitano,they facilitate
interpretare,to interpret,interpreto,I interpret,interpreti,you interpret,interpreta,he/she interprets,interpretiamo,we interpret,interpretate,you all interpret,interpretano,they interpret
elaborare,to process,elaboro,I process,elabori,you process,elabora,he/she processes,elaboriamo,we process,elaborate,you all process,elaborano,they process
convenire,to agree / to be worthwhile,convengo,I agree,conviene,you agree,conviene,he/she agrees,conveniamo,we agree,convenite,you all agree,convengono,they agree
provocare,to provoke,provoco,I provoke,provochi,you provoke,provoca,he/she provokes,provochiamo,we provoke,provocate,you all provoke,provocano,they provoke
togliere,to remove,tolgo,I remove,togli,you remove,toglie,he/she removes,togliamo,we remove,togliete,you all remove,tolgono,they remove
ribadire,to reiterate,ribadisco,I reiterate,ribadisci,you reiterate,ribadisce,he/she reiterates,ribadiamo,we reiterate,ribadite,you all reiterate,ribadiscono,they reiterate
integrare,to integrate,integro,I integrate,integri,you integrate,integra,he/she integrates,integriamo,we integrate,integrate,you all integrate,integrano,they integrate
divenire,to become,divengo,I become,divieni,you become,diviene,he/she becomes,diveniamo,we become,divenite,you all become,divengono,they become
richiamare,to recall,richiamo,I recall,richiami,you recall,richiama,he/she recalls,richiamiamo,we recall,richiamate,you all recall,richiamano,they recall
abbandonare,to abandon,abbandono,I abandon,abbandoni,you abandon,abbandona,he/she abandons,abbandoniamo,we abandon,abbandonate,you all abandon,abbandonano,they abandon
delegare,to delegate,delego,I delegate,deleghi,you delegate,delega,he/she delegates,deleghiamo,we delegate,delegate,you all delegate,delegano,they delegate
denominare,to name,denomino,I name,denomini,you name,denomina,he/she names,denominiamo,we name,denominate,you all name,denominano,they name
conservare,to conserve,conservo,I preserve,conservi,you preserve,conserva,he/she preserves,conserviamo,we preserve,conservate,you all preserve,conservano,they preserve
perseguire,to pursue,perseguo,I pursue,persegui,you pursue,persegue,he/she pursues,perseguiamo,we pursue,perseguite,you all pursue,perseguono,they pursue
contrastare,to contrast,contrasto,I contrast,contrasti,you contrast,contrasta,he/she contrasts,contrastiamo,we contrast,contrastate,you all contrast,contrastano,they contrast
stipulare,to stipulate,stipulo,I stipulate,stipuli,you stipulate,stipula,he/she stipulates,stipuliamo,we stipulate,stipulate,you all stipulate,stipulano,they stipulate
situare,to situate,situo,I situate,situi,you situate,situa,he/she situates,situiamo,we situate,situate,you all situate,situano,they situate
commettere,to commit,commetto,I commit,commetti,you commit,commette,he/she commits,commettiamo,we commit,commettete,you all commit,commettono,they commit
giudicare,to judge,giudico,I judge,giudichi,you judge,giudica,he/she judges,giudichiamo,we judge,giudicate,you all judge,giudicano,they judge
ripetere,to repeat,ripeto,I repeat,ripeti,you repeat,ripete,he/she repeats,ripetiamo,we repeat,ripetete,you all repeat,ripetono,they repeat
dispiacere,to be displeased / to regret,dispiaccio,I am sorry,dispiaci,you are sorry,dispiace,he/she is sorry,dispiacciamo,we are sorry,dispiacete,you all are sorry,dispiacciono,they are sorry
avvalersi,to avail oneself,mi avvalgo,I avail myself,ti avvali,you avail yourself,si avvale,he/she avails himself/herself,ci avvaliamo,we avail ourselves,vi avvalete,you all avail yourselves,si avvalgono,they avail themselves
usufruire,to make use of,usufruisco,I make use of,usufruisci,you make use of,usufruisce,he/she makes use of,usufruiamo,we make use of,usufruite,you all make use of,usufruiscono,they make use of
investire,to invest / to hit,investo,I invest,investi,you invest,investe,he/she invests,investiamo,we invest,investite,you all invest,investono,they invest
guidare,to drive / to guide,guido,I drive,guidi,you drive,guida,he/she drives,guidiamo,we drive,guidate,you all drive,guidano,they drive
completare,to complete,completo,I complete,completi,you complete,completa,he/she completes,completiamo,we complete,completate,you all complete,completano,they complete
sfruttare,to exploit,sfrutto,I exploit,sfrutti,you exploit,sfrutta,he/she exploits,sfruttiamo,we exploit,sfruttate,you all exploit,sfruttano,they exploit
insegnare,to teach,insegno,I teach,insegni,you teach,insegna,he/she teaches,insegniamo,we teach,insegnate,you all teach,insegnano,they teach
incaricare,to charge / to task,incarico,I charge,incarichi,you charge,incarica,he/she charges,incarichiamo,we charge,incaricate,you all charge,incaricano,they charge
redigere,to draft,redigo,I draft,redigi,you draft,redige,he/she drafts,redigiamo,we draft,redigete,you all draft,redigono,they draft
implicare,to imply,implico,I implicate,implichi,you implicate,implica,he/she implicates,implichiamo,we implicate,implicate,you all implicate,implicano,they implicate
suonare,to play (an instrument) / to ring,suono,I play,suoni,you play,suona,he/she plays,suoniamo,we play,suonate,you all play,suonano,they play
finanziare,to finance,finanzio,I finance,finanzi,you finance,finanzia,he/she finances,finanziamo,we finance,finanziate,you all finance,finanziano,they finance
identificare,to identify,identifico,I identify,identifichi,you identify,identifica,he/she identifies,identifichiamo,we identify,identificate,you all identify,identificano,they identify
associare,to associate,associo,I associate,assocì,you associate,associa,he/she associates,associamo,we associate,associate,you all associate,associano,they associate
emanare,to emanate / to issue,emano,I enact,emani,you enact,emana,he/she enacts,emaniamo,we enact,emanate,you all enact,emanano,they enact
impostare,to set up / to configure,imposto,I set,imposti,you set,imposta,he/she sets,impostiamo,we set,impostate,you all set,impostano,they set
rivedere,to review / to see again,rivedo,I review,rivedi,you review,rivede,he/she reviews,rivediamo,we review,rivedete,you all review,rivedono,they review
accertare,to ascertain,accerto,I verify,accerti,you verify,accerta,he/she verifies,accertiamo,we verify,accertate,you all verify,accertano,they verify
apportare,to bring (changes),apporto,I contribute,apporti,you contribute,apporta,he/she contributes,apportiamo,we contribute,apportate,you all contribute,apportano,they contribute
informare,to inform,informo,I inform,informi,you inform,informa,he/she informs,informiamo,we inform,informate,you all inform,informano,they inform
illustrare,to illustrate,illustro,I illustrate,illustri,you illustrate,illustra,he/she illustrates,illustriamo,we illustrate,illustrate,you all illustrate,illustrano,they illustrate
vietare,to forbid,vieto,I forbid,vieti,you forbid,vieta,he/she forbids,vietiamo,we forbid,vietate,you all forbid,vietano,they forbid
respingere,to reject / to push back,respingo,I reject,respingi,you reject,respinge,he/she rejects,respingiamo,we reject,respingete,you all reject,respingono,they reject
