Word,Infinitive,English_Translation,Word_Type,Jaro_Score
divertente,divertente,funny,adj,0.43333333333333335
avessi,avere,to have,verb,0.0
sicura,sicuro,safe,adj,0.47222222222222215
paio,paio,pair,nm,0.8333333333333334
conto,conto,account,nm,0.5619047619047619
perdere,perdere,to lose,verb,0.42857142857142855
dimmi,dire,tell me,verb,0.44761904761904764
farmi,fare,to make me,"verb, pron",0.3666666666666667
figli,figlio,children,"nm, pl",0.5499999999999999
mezzo,mezzo,half,"adj, nm",0.0
lavorare,lavorare,to work,verb,0.5119047619047619
unico,unico,unique,"adj, m, sg",0.7000000000000001
esattamente,esattamente,exactly,adv,0.5670995670995671
squadra,squadra,team,nf,0.46428571428571425
esatto,esatto,exact,adj,0.7000000000000001
possono,potere,to be able to,verb,0.40659340659340665
fate,fare,to do,verb,0.0
faro,faro,lighthouse,nm,0.45
sapete,sapere,to know,verb,0.0
dottor,dottore,doctor,nm,0.888888888888889
parola,parola,word,nf,0.4444444444444444
piedi,piede,foot,"nm, pl",0.0
sopra,sopra,above,"adv, prep",0.4666666666666666
motivo,motivo,reason,nm,0.4444444444444444
avevi,avere,to have,verb,0.44761904761904764
cavolo,cavolo,cabbage,"nm, interj",0.5396825396825397
capitano,capitare,captain,"nm, verb",0.9107142857142857
finita,finito,finished,"adj, verb",0.7222222222222222
volete,volere,to want,verb,0.5396825396825397
siano,essere,to be,verb,0.0
potresti,potere,could,verb,0.44166666666666665
gioco,gioco,game,nm,0.48333333333333334
perfetto,perfetto,perfect,"adj, nm",0.8690476190476191
be,bere,to drink,verb,0.0
mente,mente,mind,nf,0.6333333333333333
mangiare,mangiare,to eat,verb,0.4305555555555555
resto,restare,rest,"nm, verb",0.9333333333333332
credere,credere,to believe,verb,0.5761904761904763
fortuna,fortuna,luck,nf,0.0
tratta,trattare,to treat,"verb, nf",0.6861111111111112
chiamo,chiamare,to call,verb,0.4365079365079365
morta,morto,dead,"adj, nf",0.0
là,là,there,adv,0.0
entrambi,entrambo,both,"adj, pron",0.4583333333333333
avresti,avere,to have,verb,0.0
passare,passare,to pass,verb,0.35714285714285715
cena,cena,dinner,nf,0.47222222222222215
the,il,the,art,1.0
sarei,essere,to be,verb,0.4666666666666666
controllo,controllare,control,"nm, verb",0.9259259259259259
affari,affare,business,"m, pl",0.4305555555555555
spiace,spiacere,to be sorry,verb,0.41919191919191917
ultimo,ultimo,last,"adj, nm",0.611111111111111
facile,facile,easy,adj,0.47222222222222215
farò,fare,to do,verb,0.0
buongiorno,buongiorno,good morning,"interj, nm",0.6555555555555556
davanti,davanti,in front,"adv, prep",0.5119047619047619
tizio,tizio,guy,nm,0.0
dammi,dare,to give,"verb, indir obj",0.44761904761904764
sicurezza,sicurezza,safety,nf,0.5185185185185185
dalle,dalle,from the,"prep, art",0.44166666666666665
quanti,quanto,how many,"adj, pron",0.5277777777777778
dica,dire,to say,verb,0.47222222222222215
matrimonio,matrimonio,marriage,nm,0.6333333333333333
john,john,toilet,nm,0.47222222222222215
vogliono,volere,to want,verb,0.5119047619047619
molti,molto,many,"adj, pron",0.48333333333333334
culo,culo,ass,nm,0.0
fuoco,fuoco,fire,nm,0.48333333333333334
cercare,cercare,to look for,verb,0.0
pistola,pistola,gun,nf,0.0
potremmo,potere,to be able to,verb,0.5192307692307693
re,re,king,nm,0.0
mandato,mandare,mandate,"nm, verb",0.9047619047619048
puttana,puttana,whore,nf,0.0
negli,nel,in the,"prep, art, m, pl",0.45555555555555555
cioe,cioè,that is to say,"adv, conj",0.44047619047619047
inizio,inizio,beginning,nm,0.611111111111111
saranno,essere,to be,verb,0.0
causa,causa,cause,nf,0.8666666666666667
voglia,volere,desire,"nf, verb",0.4444444444444444
mettere,mettere,to put,verb,0.5396825396825397
fammi,fare,make me,"verb, pron, dir obj",0.565079365079365
uccidere,uccidere,to kill,verb,0.4226190476190476
vogliamo,volere,to want,verb,0.5119047619047619
faremo,fare,to do,verb,0.45555555555555555
però,però,but,"conj, adv",0.0
genitori,genitore,parents,"nm, pl",0.6011904761904762
sesso,sesso,sex,nm,0.6888888888888888
potete,potere,to be able to,verb,0.5747863247863249
ricevuto,ricevere,received,"verb, adj",0.6833333333333332
vivo,vivere,alive,"adj, nm, verb",0.6333333333333333
presidente,presidente,president,nmf,0.9666666666666667
città,città,city,nf,0.7833333333333333
citta,città,city,nf,0.7833333333333333
succedendo,succedere,to happen,verb,0.4740740740740741
ospedale,ospedale,hospital,nm,0.75
fu,essere,was,verb,0.0
agli,agli,to the,"prep, art, m, pl",0.0
scritto,scrivere,written,"adj, nm, verb",0.7142857142857143
smettila,smettere,stop it,"verb, sentence",0.6071428571428571
vada,andare,to go,verb,0.0
attenzione,attenzione,attention,nf,0.8962962962962964
sulle,su,on the,prep,0.45555555555555555
bere,bere,to drink,verb,0.4583333333333333
situazione,situazione,situation,nf,0.8962962962962964
omicidio,omicidio,murder,nm,0.5277777777777778
revisione,revisione,revision,nf,0.9629629629629629
avesse,avere,to have,verb,0.4365079365079365
ottimo,ottimo,excellent,adj,0.0
cura,cura,care,nf,0.6666666666666666
durante,durante,during,prep,0.746031746031746
provato,provare,to try,"verb, adj",0.5396825396825397
parole,parola,words,"nf, pl",0.41111111111111115
lasciare,lasciare,to leave,verb,0.47222222222222215
dicono,dire,to say,verb,0.4444444444444444
new,new,new,adj,1.0
prossima,prossimo,next,"adj, nf",0.0
nostre,nostro,our,"adj, pron",0.6666666666666666
arrivato,arrivare,arrived,"verb, adj",0.7797619047619048
paese,paese,country,nm,0.0
sull',su,on the,"prep, art",0.0
andate,andare,to go,verb,0.0
chiunque,chiunque,anyone,pron,0.5277777777777778
capisci,capire,to understand,verb,0.40659340659340665
pace,pace,peace,nf,0.9333333333333332
immagino,immaginare,to imagine,verb,0.7833333333333333
musica,musica,music,nf,0.9444444444444445
tieni,tenere,to hold,verb,0.44761904761904764
oddio,oddio,oh my god,interj,0.5407407407407407
jack,jack,jack,nm,1.0
libro,libro,book,nm,0.0
eravamo,essere,to be,verb,0.0
amica,amico,friend,nf,0.45555555555555555
diventare,diventare,to become,verb,0.48148148148148145
sui,su,on the,"prep, art",0.0
sbagliato,sbagliare,wrong,"adj, nm, verb",0.43703703703703706
dirmi,dire,to tell me,"verb, dir obj, indir obj",0.0
wow,wow,wow,interj,1.0
farai,fare,to do,verb,0.0
entra,entrare,to enter,verb,0.5472222222222222
venuta,venuta,arrival,nf,0.4365079365079365
scelta,scelta,choice,nf,0.4444444444444444
voluto,volere,to want,verb,0.5396825396825397
portare,portare,to bring,verb,0.4900793650793651
assolutamente,assolutamente,absolutely,adv,0.7461538461538462
molte,molto,many,"adj, pron",0.48333333333333334
chiedo,chiedere,to ask,verb,0.0
torna,tornare,to return,verb,0.6444444444444445
scoperto,scoprire,to discover,"verb, adj, m",0.4772727272727273
fatti,fatto,facts,"nm, pl",0.7333333333333334
settimane,settimana,weeks,"nf, pl",0.43703703703703706
dirlo,dire,to say it,"verb, obj",0.43703703703703706
alcuni,alcuno,some,"adj, pron",0.0
prigione,prigione,prison,nf,0.8194444444444445
giornata,giornata,day,nf,0.0
piuttosto,piuttosto,rather,"adv, conj",0.4259259259259259
buono,buono,good,"adj, nm",0.48333333333333334
aspettare,aspettare,to wait,verb,0.335978835978836
parli,parlare,to speak,verb,0.0
arrivare,arrivare,to arrive,verb,0.8055555555555555
lungo,lungo,long,"adj, adv",0.7833333333333333
vede,vedere,to see,verb,0.47222222222222215
avvocato,avvocato,lawyer,nm,0.4305555555555555
deciso,decidere,decided,"adj, verb",0.746031746031746
sarai,essere,to be,verb,0.0
messaggio,messaggio,message,nm,0.8412698412698413
dormire,dormire,to sleep,verb,0.5119047619047619
dieci,dieci,ten,"num, nm",0.5111111111111111
stupido,stupido,stupid,"adj, nm",0.9523809523809524
usare,usare,to use,verb,0.45555555555555555
dello,del,of the,"prep, art",0.0
cielo,cielo,sky,nm,0.0
guardare,guardare,to watch,verb,0.4166666666666667
bagno,bagno,bathroom,nm,0.6583333333333333
aria,aria,air,nf,0.8055555555555555
voce,voce,voice,nf,0.9333333333333332
tornato,tornare,returned,verb,0.4900793650793651
vuol,volere,to want,verb,0.46428571428571425
giù,giù,down,"adv, prep",0.0
conosci,conoscere,to know,verb,0.6190476190476191
benissimo,benissimo,very well,adv,0.40740740740740744
prendo,prendere,to take,verb,0.0
verita,verità,truth,nf,0.5777777777777778
cane,cane,dog,nm,0.0
restare,restare,to stay,verb,0.6190476190476191
chiamare,chiamare,to call,verb,0.5119047619047619
poter,potere,to be able to,verb,0.49914529914529915
campo,campo,field,nm,0.0
luce,luce,light,nf,0.48333333333333334
sam,si,yourself,pron,0.0
qualunque,qualunque,any,"adj, pron",0.48148148148148145
giovane,giovane,young,"adj, nmf",0.5619047619047619
signori,signore,gentlemen,"m, nm, pl",0.5026455026455027
fra,fra,between,prep,0.0
provare,provare,to try,verb,0.5396825396825397
minuto,minuto,minute,"nm, adj",0.888888888888889
saperlo,sapere,to know it,"verb, obj",0.4142857142857143
lontano,lontano,far,"adj, adv",0.0
gruppo,gruppo,group,nm,0.8222222222222223
continua,continuare,to continue,"verb, adj",0.7895021645021645
arrivo,arrivo,arrival,nm,0.8492063492063492
gran,grande,great,adj,0.7833333333333333
realta,realtà,reality,nf,0.8492063492063492
cerca,cercare,to search,"verb, nf",0.5407407407407407
passo,passo,step,nm,0.0
domande,domanda,questions,"nf, pl",0.41798941798941797
insomma,insomma,basically,"adv, interj",0.4761904761904761
bambina,bambino,girl,nf,0.0
pensando,pensare,thinking,verb,0.5
capelli,capello,hair,"nm, pl",0.46428571428571425
trova,trovare,to find,verb,0.5619047619047619
onore,onore,honor,nm,0.8666666666666667
aiutare,aiutare,to help,verb,0.42857142857142855
verità,verità,truth,nf,0.5777777777777778
prove,prova,tests,"nf, pl",0.0
n',ne,of it,pron,0.0
funziona,funzionare,to work,verb,0.4226190476190476
alto,alto,tall,"adj, nm",0.6666666666666666
giu,giù,down,adv,0.0
credevo,credere,to believe,verb,0.5761904761904763
futuro,futuro,future,"nm, adj",0.888888888888889
preoccuparti,preoccupare,to worry,verb,0.4305555555555555
idiota,idiota,idiot,"adj, nmf",0.9444444444444445
cibo,cibo,food,nm,0.5
fretta,fretta,haste,nf,0.41111111111111115
cara,caro,dear,"adj, nf",0.6666666666666666
finalmente,finalmente,finally,adv,0.7380952380952381
morti,morto,dead,"adj, nm, pl",0.0
odio,odio,hatred,nm,0.0
solito,solito,usual,"adj, nm",0.5777777777777778
brava,bravo,good,adj,0.0
é,essere,is,verb,0.0
incidente,incidente,accident,nm,0.75
allo,al,at the,prep,0.47222222222222215
dev',dovere,must,verb,0.0
intenzione,intenzione,intention,nf,0.8962962962962964
speciale,speciale,special,"adj, nm",0.9583333333333334
cambiare,cambiare,to change,verb,0.5694444444444444
vera,vero,true,adj,0.5
camera,camera,room,nf,0.47222222222222215
oltre,oltre,beyond,"adv, prep",0.0
semplice,semplice,simple,adj,0.8194444444444445
dirti,dire,to tell you,"verb, pron",0.43030303030303035
riguardo,riguardo,regard,"nm, prep",0.8194444444444445
finche,finché,until,"conj, adv",0.41111111111111115
aspetto,aspettare,aspect,"nm, verb",0.8492063492063492
viaggio,viaggio,journey,nm,0.0
chiaro,chiaro,clear,"adj, adv, nm",0.7000000000000001
chiamata,chiamare,call,"nf, verb",0.5833333333333334
bocca,bocca,mouth,nf,0.4666666666666666
permesso,permesso,permission,"nm, adj",0.8583333333333334
piacerebbe,piacere,to like,verb,0.49523809523809526
dovete,dovere,to have to,verb,0.5222222222222223
giocare,giocare,to play,verb,0.5238095238095238
ordine,ordine,order,nm,0.8222222222222223
circa,circa,about,"adv, prep",0.0
ovviamente,ovviamente,obviously,adv,0.5444444444444444
finire,finire,to finish,verb,0.7037037037037037
piu',piu',more,adv,0.0
natale,natale,Christmas,"nm, adj",0.4259259259259259
i',il,the,"art, m, pl",0.0
direi,dire,to say,verb,0.0
vostri,vostro,your,"adj, pron",0.611111111111111
occhio,occhio,eye,nm,0.0
pronta,pronto,ready,adj,0.45555555555555555
scusami,scusare,excuse me,"verb, sentence",0.671957671957672
mattina,mattina,morning,"f, nf",0.5079365079365079
cercato,cercare,to search,verb,0.5026455026455027
crede,credere,he believed,verb,0.5272727272727272
sistema,sistema,system,nm,0.8492063492063492
york,york,York,other,0.8333333333333334
fondo,fondo,bottom,"nm, adj",0.5777777777777778
resta,restare,remains,verb,0.6761904761904761
devono,dovere,to have to,verb,0.48888888888888893
prossimo,prossimo,next,"adj, nm",0.0
pronti,pronto,ready,"adj, m, pl",0.45555555555555555
saputo,sapere,to know,verb,0.4365079365079365
scusate,scusare,to apologize,verb,0.44841269841269843
potere,potere,to be able to,"verb, nm",0.5747863247863249
milioni,milione,millions,"nm, pl",0.8690476190476191
soltanto,soltanto,only,adv,0.5833333333333334
armi,arma,arms,"nf, pl",0.8333333333333334
arriva,arrivare,to arrive,verb,0.7962962962962963
fermo,fermo,still,"adj, m, sg",0.0
mese,mese,month,nm,0.48333333333333334
chiedere,chiedere,to ask,verb,0.0
cristo,cristo,Christ,nm,0.7777777777777777
torno,tornare,to return,"verb, nm",0.6444444444444445
venite,venire,to come,verb,0.4365079365079365
controllare,controllare,to check,verb,0.43813131313131315
appuntamento,appuntamento,appointment,nm,0.8560606060606061
s,si,yourself,pron,0.0
chiami,chiamare,to call,verb,0.4365079365079365
vecchia,vecchio,old,"adj, nf",0.0
detective,detective,detective,"nmf, nc",1.0
pero,pero,pear tree,nm,0.6944444444444443
metti,mettere,to put,verb,0.5777777777777778
grado,grado,degree,nm,0.5777777777777778
vanno,andare,to go,verb,0.4666666666666666
nave,nave,ship,nf,0.0
iniziato,iniziare,started,"verb, adj",0.5119047619047619
perche',perché,why,"adv, conj, nm",0.0
informazioni,informazione,information,"nf, pl",0.914141414141414
libero,libero,free,"adj, nm",0.47222222222222215
stronzo,stronzo,asshole,"nm, adj",0.5238095238095238
grandi,grande,big,"adj, pl",0.5
pezzo,pezzo,piece,nm,0.6
segreto,segreto,secret,"adj, nm",0.8492063492063492
colpo,colpo,blow,nm,0.4666666666666666
faceva,fare,to do,verb,0.0
piacciono,piacere,to like,verb,0.41798941798941797
porto,portare,port,"nm, verb",0.9333333333333332
oppure,oppure,or,conj,0.5555555555555555
completamente,completamente,completely,adv,0.8051282051282053
vederti,vedere,to see you,verb,0.49523809523809526
lista,lista,list,nf,0.9333333333333332
venga,venire,to come,verb,0.0
veloce,veloce,fast,"adj, adv",0.0
assassino,assassino,killer,"nm, adj",0.0
sapeva,sapere,to know,verb,0.0
finché,finché,until,conj,0.41111111111111115
tom,tomo,volume,nm,0.6666666666666666
ormai,ormai,by now,adv,0.0
interessa,interessare,to interest,verb,0.757094757094757
generale,generale,general,"adj, nm",0.9583333333333334
giusta,giusto,right,adj,0.5888888888888889
tenere,tenere,to hold,verb,0.4365079365079365
pazzo,pazzo,crazy,"adj, nm",0.6
vittima,vittima,victim,nf,0.8492063492063492
giuro,giurare,to swear,"verb, nm",0.44166666666666665
consiglio,consiglio,advice,nm,0.4259259259259259
michael,michael,Michael,nm,0.9047619047619048
alcune,alcuno,some,"adj, pron",0.47222222222222215
semplicemente,semplicemente,simply,adv,0.605982905982906
zio,zio,uncle,nm,0.0
centro,centro,center,nm,0.888888888888889
specie,specie,species,nf,0.9523809523809524
mille,mille,thousand,"adj, num",0.0
sogno,sogno,dream,nm,0.0
lasci,lasciare,to leave,verb,0.44166666666666665
carino,carino,cute,adj,0.47222222222222215
doveva,dovere,to have to,verb,0.6055555555555555
brutto,brutto,ugly,"adj, nm",0.47222222222222215
nello,nello,in the,prep,0.45555555555555555
aspetti,aspettare,to wait,verb,0.35714285714285715
incredibile,incredibile,incredible,adj,0.9696969696969697
sole,sole,sun,nm,0.5277777777777778
glielo,glielo,it to him,pron,0.5185185185185185
legge,leggere,law,"nf, verb",0.5111111111111111
spesso,spesso,often,"adv, adj",0.45555555555555555
guardate,guardare,to look,verb,0.0
cambiato,cambiare,changed,"verb, adj",0.5119047619047619
scena,scena,scene,nf,0.8666666666666667
volevi,volere,to want,verb,0.4365079365079365
charlie,charlie,Charlie,nm,0.9047619047619048
lasciami,lasciare,to leave,verb,0.5
gentile,gentile,kind,adj,0.46428571428571425
rispetto,rispetto,respect,nm,0.7130952380952381
ve,vedere,to see,verb,0.0
fara,fare,to do,verb,0.0
zitto,zitto,quiet,"adj, interj",0.6
incontro,incontro,meeting,nm,0.3452380952380952
farà,fare,to do,verb,0.0
servono,servire,to serve,verb,0.6464285714285715
rapporto,rapporto,relationship,nm,0.5277777777777778
errore,errore,error,nm,0.9444444444444445
mike,mike,mike,nm,1.0
sanno,sapere,to know,verb,0.5619047619047619
pagare,pagare,to pay,verb,0.4444444444444444
sorpresa,sorpresa,surprise,nf,0.7777777777777778
occhiata,occhiata,glance,nf,0.3611111111111111
risposta,risposta,answer,nf,0.4305555555555555
presa,presa,grip,nf,0.48333333333333334
servizio,servizio,service,nm,0.7797619047619048
medico,medico,doctor,"nm, adj",0.6666666666666666
usato,usato,used,"adj, nm",0.6333333333333333
hey,hey,hey,interj,1.0
caro,caro,dear,"adj, nm",0.6666666666666666
schifo,schifo,disgust,nm,0.373015873015873
avrai,avere,to have,verb,0.44761904761904764
dolore,dolore,pain,"m, nm",0.0
saresti,essere,you would be,verb,0.0
personale,personale,personal,"adj, nm",0.9629629629629629
quali,quale,which,"adj, pron",0.0
saro,essere,to be,verb,0.0
peggio,peggio,worse,"adv, adj, nm",0.0
addio,addio,goodbye,"nm, interj",0.3952380952380952
addosso,addosso,on,adv,0.0
dovevo,dovere,to have to,verb,0.6888888888888888
poteva,potere,to be able to,verb,0.5747863247863249
pieno,pieno,full,"adj, nm",0.0
diverso,diverso,different,adj,0.671957671957672
vestiti,vestito,clothes,"nm, pl",0.42857142857142855
sparato,sparare,to shoot,"adj, verb",0.4900793650793651
realtà,realtà,reality,nf,0.8492063492063492
do,dare,give,verb,0.0
sarò,essere,to be,verb,0.0
normale,normale,normal,"adj, nf",0.9523809523809524
fame,fame,hunger,nf,0.47222222222222215
programma,programma,program,nm,0.9259259259259259
nonna,nonno,grandmother,nf,0.3606060606060606
sappia,sapere,to know,verb,0.0
sembrava,sembrare,to seem,verb,0.5119047619047619
migliori,migliore,better,"adj, nm, nf, pl",0.4305555555555555
notizie,notizia,news,"nf, pl",0.46428571428571425
avevamo,avere,to have,verb,0.35714285714285715
riesci,riuscire,to succeed,verb,0.5111111111111111
posizione,posizione,position,nf,0.8842592592592592
vengo,venire,to come,verb,0.44761904761904764
rimanere,rimanere,to stay,verb,0.4226190476190476
compagnia,compagnia,company,nf,0.8412698412698413
proposito,proposito,purpose,nm,0.6899470899470899
farci,fare,to make us,"verb, obj",0.43333333333333335
joe,joe,coffee,nm,0.6666666666666666
ricorda,ricordare,to remember,verb,0.32251082251082247
frank,frank,franc,nm,0.8666666666666667
prende,prendere,to take,verb,0.4365079365079365
tante,tanto,many,"adj, pron, pl",0.6333333333333333
avevano,avere,to have,verb,0.35714285714285715
arrivando,arrivare,to arrive,verb,0.7037037037037037
chiuso,chiudere,closed,"adj, nm",0.5555555555555555
terribile,terribile,terrible,adj,0.9629629629629629
ritardo,ritardo,delay,nm,0.44761904761904764
attento,attento,careful,"adj, interj",0.5238095238095238
bar,bar,bar,nm,1.0
sembri,sembrare,to seem,verb,0.0
fallo,fare,to do it,"verb, obj",0.44166666666666665
dimenticato,dimenticare,forgotten,"adj, verb",0.436026936026936
bisogna,bisognare,it is necessary,verb,0.6126984126984126
impossibile,impossibile,impossible,adj,0.9696969696969697
cioè,cioè,that is,"adv, conj",0.0
studio,studiare,study,"nm, verb",0.8222222222222223
stessi,stesso,same,"adj, pron",0.611111111111111
arma,arma,weapon,nf,0.47222222222222215
conosce,conoscere,to know,verb,0.6190476190476191
uscita,uscita,exit,nf,0.611111111111111
ii,il,of the,art,0.0
fin,fine,end,"nf, nm",0.0
disse,dire,to say,verb,0.45555555555555555
david,david,David,nm,0.8666666666666667
vattene,andarsene,go away,"verb, sentence",0.42857142857142855
quante,quanto,how many,"adj, pron",0.5277777777777778
guai,guaire,to howl,verb,0.0
intorno,intorno,around,"adv, prep",0.5396825396825397
video,video,video,nm,1.0
manca,mancare,to be missing,verb,0.0
esserci,esserci,to be there,verb,0.41125541125541126
grosso,grosso,big,"adj, m",0.5
tanti,tanto,many,"adj, pron",0.6333333333333333
dolce,dolce,sweet,"adj, nm",0.4666666666666666
chiave,chiave,key,nf,0.0
cervello,cervello,brain,nm,0.44166666666666665
coraggio,coraggio,courage,nm,0.7797619047619048
interessante,interessante,interesting,adj,0.8190235690235691
peccato,peccato,sin,"nm, interj",0.0
questione,questione,issue,nf,0.5333333333333333
adoro,adorare,to adore,verb,0.7416666666666667
aereo,aereo,airplane,"nm, adj",0.5499999999999999
guardi,guardare,to look,verb,0.0
rubato,rubare,stolen,"adj, verb",0.0
sala,sala,room,nf,0.0
base,base,base,nf,1.0
peter,peter,to peter out,verb,0.7388888888888889
george,George,George,nm,0.888888888888889
sette,sette,seven,"num, nm",0.7333333333333334
sente,sentire,to feel,verb,0.44761904761904764
compleanno,compleanno,birthday,nm,0.4083333333333334
potrebbero,potere,could,verb,0.43333333333333335
relazione,relazione,relationship,nf,0.7870370370370371
cliente,cliente,customer,nmf,0.4900793650793651
spalle,spalla,shoulders,"nf, pl",0.611111111111111
seconda,secondo,second,"adj, nf, num",0.9523809523809524
parti,partire,to leave,verb,0.44166666666666665
vale,valere,to be worth,verb,0.44696969696969696
qualcun,qualcuno,someone,pron,0.42857142857142855
diritto,diritto,right,"nm, adj, adv",0.565079365079365
sicuramente,sicuramente,surely,adv,0.6767676767676768
appartamento,appartamento,apartment,nm,0.9166666666666666
pranzo,pranzo,lunch,nm,0.45555555555555555
saremo,essere,to be,verb,0.45555555555555555
denaro,denaro,money,nm,0.41111111111111115
riuscito,riuscire,successful,"adj, verb",0.44722222222222224
continuare,continuare,to continue,verb,0.8007575757575758
serata,serata,evening,nf,0.4365079365079365
nero,nero,black,"adj, nm",0.0
vestito,vestito,dress,"nm, adj",0.5619047619047619
carta,carta,paper,nf,0.4666666666666666
ex,ex,former,"adj, nmf",0.0
dottoressa,dottore,doctor,nf,0.7777777777777778
bastardo,bastardo,bastard,"adj, nm",0.9583333333333334
potevo,potere,to be able to,verb,0.46581196581196577
iniziare,iniziare,to start,verb,0.5
lavora,lavorare,to work,verb,0.5396825396825397
otto,otto,eight,"num, nm",0.0
conosciuto,conoscere,known,"adj, verb",0.3666666666666667
zona,zona,area,nf,0.5
