Word,Infinitive,English_Translation,Word_Type,Jaro_Score,Initial_Jaro,Rule_Chain,Max_Jaro_Score
non,non,not,adv,0.7777777777777777,0.7777777777777777,,0.7777777777777777
io,io,I,pron,0.0,0.8333333333333334,suffix-o-,1.0
o,o,or,conj,0.8333333333333334,0.8333333333333334,,0.8333333333333334
certo,certo,certain,"adj, adv",0.7904761904761904,0.7904761904761904,,0.7904761904761904
parte,parte,part,nf,0.9333333333333332,0.9333333333333332,suffix-e-,1.0
sembra,sembrare,to seem,verb,0.0,0.75,,0.75
tra,trarre,to draw,verb,0.4920634920634921,0.7222222222222222,,0.7222222222222222
favore,favore,favor,nm,0.9444444444444445,0.9444444444444445,suffix-e-,1.0
successo,successo,success,nm,0.9583333333333334,0.9583333333333334,suffix-o-,1.0
momento,momento,moment,nm,0.9523809523809524,0.9523809523809524,suffix-mento-ment,1.0
persone,persona,people,"nf, pl",0.746031746031746,0.746031746031746,,0.746031746031746
tre,tre,three,"num, nm",0.8666666666666667,0.8666666666666667,,0.8666666666666667
sicuro,sicuro,sure,"adj, adv, nm",0.75,0.75,,0.75
caso,caso,case,nm,0.8333333333333334,0.8333333333333334,suffix-o-e,1.0
nome,nome,name,nm,0.8333333333333334,0.8333333333333334,,0.8333333333333334
problema,problema,problem,nm,0.9583333333333334,0.9583333333333334,suffix-a-,1.0
faccia,faccia,face,nf,0.75,0.75,,0.75
famiglia,famiglia,family,nf,0.8194444444444445,0.8194444444444445,,0.8194444444444445
ragione,ragione,reason,nf,0.746031746031746,0.746031746031746,,0.746031746031746
scusa,scusare,excuse,"nf, verb, sentence",0.7000000000000001,0.7000000000000001,,0.7000000000000001
storia,storia,history,nf,0.746031746031746,0.746031746031746,,0.746031746031746
secondo,secondo,second,"adj, nm, prep",0.9523809523809524,0.9523809523809524,suffix-o-,1.0
polizia,polizia,police,nf,0.746031746031746,0.746031746031746,,0.746031746031746
nemmeno,nemmeno,not even,"adv, conj",0.6904761904761904,0.7142857142857143,,0.7142857142857143
stati,stato,states,"nm, pl",0.8222222222222223,0.8222222222222223,,0.8222222222222223
neanche,neanche,neither,"adv, conj",0.7142857142857143,0.7142857142857143,,0.7142857142857143
diavolo,diavolo,devil,nm,0.7071428571428572,0.7071428571428572,,0.7071428571428572
punto,punto,point,nm,0.7333333333333334,0.7333333333333334,,0.7333333333333334
finito,finire,finished,"adj, verb",0.7222222222222222,0.7222222222222222,,0.7222222222222222
passato,passato,past,"adj, nm",0.8571428571428571,0.8571428571428571,,0.8571428571428571
minuti,minuto,minutes,"m, pl",0.8492063492063492,0.8492063492063492,,0.8492063492063492
importante,importante,important,adj,0.9666666666666667,0.9666666666666667,suffix-e-,1.0
dollari,dollaro,dollars,"nm, pl",0.9047619047619048,0.9047619047619048,,0.9047619047619048
possibile,possibile,possible,"adj, nm",0.9629629629629629,0.9629629629629629,suffix-bile-ble,1.0
scuola,scuola,school,nf,0.7777777777777777,0.7777777777777777,,0.7777777777777777
traduzione,traduzione,translation,nf,0.7151515151515152,0.7151515151515152,,0.7151515151515152
difficile,difficile,difficult,adj,0.8518518518518517,0.8518518518518517,,0.8518518518518517
fantastico,fantastico,fantastic,adj,0.9666666666666667,0.9666666666666667,suffix-ico-ic,1.0
numero,numero,number,nm,0.888888888888889,0.888888888888889,,0.888888888888889
serio,serio,serious,adj,0.9047619047619048,0.9047619047619048,suffix-o-ous,1.0
entrare,entrare,to enter,verb,0.6464285714285715,0.7904761904761904,suffix-are-e + suffix-re-er,1.0
agente,agente,agent,"nmf, nc",0.9444444444444445,0.9444444444444445,suffix-e-,1.0
foto,foto,photo,nf,0.7833333333333333,0.7833333333333333,replace-f-ph,1.0
telefono,telefono,telephone,nm,0.8055555555555555,0.8055555555555555,replace-f-ph + suffix-o-e,1.0
sacco,sacco,sack,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
strano,strano,strange,adj,0.8492063492063492,0.8492063492063492,,0.8492063492063492
senso,senso,sense,nm,0.8666666666666667,0.8666666666666667,suffix-o-e,1.0
probabilmente,probabilmente,probably,adv,0.8044871794871794,0.8044871794871794,,0.8044871794871794
ufficio,ufficio,office,nm,0.746031746031746,0.746031746031746,,0.746031746031746
dottore,dottore,doctor,nm,0.8492063492063492,0.8492063492063492,replace-tt-ct + suffix-e-,1.0
paio,paio,pair,nm,0.8333333333333334,0.8333333333333334,,0.8333333333333334
esatto,esatto,exact,adj,0.7000000000000001,0.7000000000000001,,0.7000000000000001
capitano,capitare,captain,"nm, verb",0.9107142857142857,0.9107142857142857,,0.9107142857142857
finita,finito,finished,"adj, verb",0.7222222222222222,0.7222222222222222,,0.7222222222222222
perfetto,perfetto,perfect,"adj, nm",0.8690476190476191,0.8690476190476191,replace-tt-ct + suffix-o-,1.0
resto,restare,rest,"nm, verb",0.9333333333333332,0.9333333333333332,suffix-o-,1.0
tratta,trattare,to treat,"verb, nf",0.6861111111111112,0.8222222222222223,,0.8222222222222223
passare,passare,to pass,verb,0.35714285714285715,0.8571428571428571,suffix-are-e + suffix-e-,1.0
controllo,controllare,control,"nm, verb",0.9259259259259259,0.9259259259259259,suffix-o- + replace-ll-l,1.0
mandato,mandare,mandate,"nm, verb",0.9047619047619048,0.9047619047619048,suffix-ato-ate,1.0
causa,causa,cause,nf,0.8666666666666667,0.8666666666666667,suffix-a-e,1.0
presidente,presidente,president,nmf,0.9666666666666667,0.9666666666666667,suffix-e-,1.0
città,città,city,nf,0.7833333333333333,0.7833333333333333,,0.7833333333333333
ospedale,ospedale,hospital,nm,0.75,0.75,,0.75
scritto,scrivere,written,"adj, nm, verb",0.7142857142857143,0.7142857142857143,,0.7142857142857143
attenzione,attenzione,attention,nf,0.8962962962962964,0.8962962962962964,suffix-zione-tion,1.0
situazione,situazione,situation,nf,0.8962962962962964,0.8962962962962964,suffix-zione-tion,1.0
revisione,revisione,revision,nf,0.9629629629629629,0.9629629629629629,suffix-sione-sion,1.0
durante,durante,during,prep,0.746031746031746,0.746031746031746,,0.746031746031746
arrivato,arrivare,arrived,"verb, adj",0.7797619047619048,0.7797619047619048,,0.7797619047619048
pace,pace,peace,nf,0.9333333333333332,0.9333333333333332,replace-a-ea,1.0
immagino,immaginare,to imagine,verb,0.7833333333333333,0.8690476190476191,suffix-ino-ine + replace-m-mm,1.0
musica,musica,music,nf,0.9444444444444445,0.9444444444444445,suffix-a-,1.0
assolutamente,assolutamente,absolutely,adv,0.7461538461538462,0.7461538461538462,,0.7461538461538462
scoperto,scoprire,to discover,"verb, adj, m",0.4772727272727273,0.75,,0.75
fatti,fatto,facts,"nm, pl",0.7333333333333334,0.7333333333333334,,0.7333333333333334
prigione,prigione,prison,nf,0.8194444444444445,0.8194444444444445,,0.8194444444444445
lungo,lungo,long,"adj, adv",0.7833333333333333,0.7833333333333333,,0.7833333333333333
deciso,decidere,decided,"adj, verb",0.746031746031746,0.746031746031746,,0.746031746031746
messaggio,messaggio,message,nm,0.8412698412698413,0.8412698412698413,,0.8412698412698413
stupido,stupido,stupid,"adj, nm",0.9523809523809524,0.9523809523809524,suffix-o-,1.0
aria,aria,air,nf,0.8055555555555555,0.8055555555555555,,0.8055555555555555
voce,voce,voice,nf,0.9333333333333332,0.9333333333333332,,0.9333333333333332
gruppo,gruppo,group,nm,0.8222222222222223,0.8222222222222223,,0.8222222222222223
continua,continuare,to continue,"verb, adj",0.7895021645021645,0.9166666666666666,suffix-a-e,1.0
arrivo,arrivo,arrival,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
realta,realtà,reality,nf,0.8492063492063492,0.8492063492063492,,0.8492063492063492
onore,onore,honor,nm,0.8666666666666667,0.8666666666666667,prefix-h-none + suffix-e-,1.0
futuro,futuro,future,"nm, adj",0.888888888888889,0.888888888888889,suffix-o-e,1.0
idiota,idiota,idiot,"adj, nmf",0.9444444444444445,0.9444444444444445,suffix-a-,1.0
finalmente,finalmente,finally,adv,0.7380952380952381,0.7380952380952381,,0.7380952380952381
incidente,incidente,accident,nm,0.75,0.75,,0.75
intenzione,intenzione,intention,nf,0.8962962962962964,0.8962962962962964,suffix-zione-tion,1.0
speciale,speciale,special,"adj, nm",0.9583333333333334,0.9583333333333334,suffix-ale-al,1.0
semplice,semplice,simple,adj,0.8194444444444445,0.8194444444444445,,0.8194444444444445
riguardo,riguardo,regard,"nm, prep",0.8194444444444445,0.8194444444444445,,0.8194444444444445
chiaro,chiaro,clear,"adj, adv, nm",0.7000000000000001,0.7000000000000001,,0.7000000000000001
permesso,permesso,permission,"nm, adj",0.8583333333333334,0.8583333333333334,,0.8583333333333334
ordine,ordine,order,nm,0.8222222222222223,0.8222222222222223,,0.8222222222222223
sistema,sistema,system,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
milioni,milione,millions,"nm, pl",0.8690476190476191,0.8690476190476191,,0.8690476190476191
armi,arma,arms,"nf, pl",0.8333333333333334,0.8333333333333334,,0.8333333333333334
cristo,cristo,Christ,nm,0.7777777777777777,0.888888888888889,replace-ch-c + suffix-o-,1.0
appuntamento,appuntamento,appointment,nm,0.8560606060606061,0.8560606060606061,,0.8560606060606061
pero,pero,pear tree,nm,0.6944444444444443,0.7083333333333334,,0.7083333333333334
informazioni,informazione,information,"nf, pl",0.914141414141414,0.914141414141414,,0.914141414141414
segreto,segreto,secret,"adj, nm",0.8492063492063492,0.8492063492063492,,0.8492063492063492
completamente,completamente,completely,adv,0.8051282051282053,0.8051282051282053,,0.8051282051282053
lista,lista,list,nf,0.9333333333333332,0.9333333333333332,suffix-ista-ist,1.0
interessa,interessare,to interest,verb,0.757094757094757,0.8842592592592592,,0.8842592592592592
generale,generale,general,"adj, nm",0.9583333333333334,0.9583333333333334,suffix-ale-al,1.0
vittima,vittima,victim,nf,0.8492063492063492,0.8492063492063492,replace-tt-ct + suffix-a-,1.0
centro,centro,center,nm,0.888888888888889,0.888888888888889,,0.888888888888889
specie,specie,species,nf,0.9523809523809524,0.9523809523809524,suffix-es-e,1.0
incredibile,incredibile,incredible,adj,0.9696969696969697,0.9696969696969697,suffix-bile-ble,1.0
scena,scena,scene,nf,0.8666666666666667,0.8666666666666667,suffix-a-e,1.0
rispetto,rispetto,respect,nm,0.7130952380952381,0.7130952380952381,,0.7130952380952381
errore,errore,error,nm,0.9444444444444445,0.9444444444444445,suffix-e-,1.0
sorpresa,sorpresa,surprise,nf,0.7777777777777778,0.7777777777777778,,0.7777777777777778
servizio,servizio,service,nm,0.7797619047619048,0.7797619047619048,,0.7797619047619048
personale,personale,personal,"adj, nm",0.9629629629629629,0.9629629629629629,suffix-ale-al,1.0
normale,normale,normal,"adj, nf",0.9523809523809524,0.9523809523809524,suffix-ale-al,1.0
programma,programma,program,nm,0.9259259259259259,0.9259259259259259,suffix-a- + replace-m-mm,1.0
posizione,posizione,position,nf,0.8842592592592592,0.8842592592592592,suffix-zione-tion,1.0
compagnia,compagnia,company,nf,0.8412698412698413,0.8412698412698413,,0.8412698412698413
frank,frank,franc,nm,0.8666666666666667,0.8666666666666667,,0.8666666666666667
terribile,terribile,terrible,adj,0.9629629629629629,0.9629629629629629,suffix-bile-ble,1.0
impossibile,impossibile,impossible,adj,0.9696969696969697,0.9696969696969697,suffix-bile-ble,1.0
studio,studiare,study,"nm, verb",0.8222222222222223,0.8222222222222223,,0.8222222222222223
coraggio,coraggio,courage,nm,0.7797619047619048,0.7797619047619048,,0.7797619047619048
interessante,interessante,interesting,adj,0.8190235690235691,0.8190235690235691,,0.8190235690235691
adoro,adorare,to adore,verb,0.7416666666666667,0.8666666666666667,suffix-o-e,1.0
peter,peter,to peter out,verb,0.7388888888888889,0.875,,0.875
sette,sette,seven,"num, nm",0.7333333333333334,0.7333333333333334,,0.7333333333333334
relazione,relazione,relationship,nf,0.7870370370370371,0.7870370370370371,,0.7870370370370371
appartamento,appartamento,apartment,nm,0.9166666666666666,0.9166666666666666,,0.9166666666666666
bastardo,bastardo,bastard,"adj, nm",0.9583333333333334,0.9583333333333334,suffix-o-,1.0
intendo,intendere,to intend,verb,0.7857142857142857,0.9523809523809524,suffix-o-,1.0
spazio,spazio,space,nm,0.7000000000000001,0.7000000000000001,,0.7000000000000001
linea,linea,line,nf,0.9333333333333332,0.9333333333333332,suffix-a-,1.0
scappare,scappare,to escape,verb,0.4583333333333333,0.8194444444444445,,0.8194444444444445
silenzio,silenzio,silence,nm,0.7797619047619048,0.7797619047619048,,0.7797619047619048
simile,simile,similar,"adj, nm",0.8492063492063492,0.8492063492063492,,0.8492063492063492
calma,calmo,calm,"nf, adj",0.9333333333333332,0.9333333333333332,suffix-a-,1.0
ricerca,ricerca,research,nf,0.7130952380952381,0.7130952380952381,,0.7130952380952381
esiste,esistere,to exist,verb,0.7222222222222222,0.7388888888888889,,0.7388888888888889
lettera,lettera,letter,nf,0.9523809523809524,0.9523809523809524,suffix-a-,1.0
salvare,salvare,to save,verb,0.5079365079365079,0.7261904761904763,,0.7261904761904763
pubblico,pubblico,public,"adj, nm",0.9166666666666666,0.9166666666666666,suffix-ico-ic + replace-bb-b,1.0
corso,corso,course,nm,0.8222222222222223,0.8222222222222223,,0.8222222222222223
missione,missione,mission,nf,0.9583333333333334,0.9583333333333334,suffix-sione-sion,1.0
contatto,contatto,contact,nm,0.8690476190476191,0.8690476190476191,replace-tt-ct + suffix-o-,1.0
promesso,promettere,to promise,"verb, adj, m",0.6166666666666667,0.8134920634920636,,0.8134920634920636
guardia,guardia,guard,"nf, nm/f",0.9047619047619048,0.9047619047619048,,0.9047619047619048
possibilita,possibilita,possibility,nf,0.9393939393939394,0.9393939393939394,,0.9393939393939394
max,max,maximum,"adj, nm",0.8095238095238096,0.8095238095238096,,0.8095238095238096
certamente,certamente,certainly,adv,0.7555555555555555,0.7555555555555555,,0.7555555555555555
governo,governo,government,nm,0.8190476190476191,0.8190476190476191,,0.8190476190476191
decisione,decisione,decision,nf,0.9629629629629629,0.9629629629629629,suffix-sione-sion,1.0
droga,droga,drug,nf,0.7833333333333333,0.7833333333333333,,0.7833333333333333
possibilità,possibilità,possibility,nf,0.9393939393939394,0.9393939393939394,suffix-ità-ity,1.0
cellulare,cellulare,cell phone,"nm, adj",0.6851851851851851,0.7037037037037037,,0.7037037037037037
necessario,necessario,necessary,"adj, nm",0.8962962962962964,0.8962962962962964,suffix-ario-ary,1.0
palle,palla,balls,"nf, pl",0.7333333333333334,0.7333333333333334,,0.7333333333333334
attacco,attacco,attack,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
reale,reale,real,"adj, nm",0.9333333333333332,0.9333333333333332,suffix-ale-al,1.0
crimine,crimine,crime,nm,0.9047619047619048,0.9047619047619048,,0.9047619047619048
